 0 update:1 recall:0.0085 cost:0.0114089
 1 update:0.923885 recall:0.1515 cost:0.0205705
 2 update:0.795969 recall:0.835 cost:0.0298953
 3 update:0.147754 recall:0.9965 cost:0.0398667
 4 update:0.00354406 recall:1 cost:0.0425688
 5 update:0.00029546 recall:1 cost:0.0426284
 6 update:4.93652e-05 recall:1 cost:0.0426332
 7 update:8.77604e-06 recall:1 cost:0.042634
 8 update:0 recall:1 cost:0.0426341
 9 update:0 recall:1 cost:0.0426341
10 update:0 recall:1 cost:0.0426341
11 update:0 recall:1 cost:0.0426341
12 update:0 recall:1 cost:0.0426341
13 update:0 recall:1 cost:0.0426341
14 update:0 recall:1 cost:0.0426341
15 update:0 recall:1 cost:0.0426341
16 update:0 recall:1 cost:0.0426341
17 update:0 recall:1 cost:0.0426341
18 update:0 recall:1 cost:0.0426341
19 update:0 recall:1 cost:0.0426341
20 update:0 recall:1 cost:0.0426341
21 update:0 recall:1 cost:0.0426341
22 update:0 recall:1 cost:0.0426341
23 update:0 recall:1 cost:0.0426341
24 update:0 recall:1 cost:0.0426341
25 update:0 recall:1 cost:0.0426341
26 update:0 recall:1 cost:0.0426341
27 update:0 recall:1 cost:0.0426341
28 update:0 recall:1 cost:0.0426341
29 update:0 recall:1 cost:0.0426341
30 update:0 recall:1 cost:0.0426341
31 update:0 recall:1 cost:0.0426341
32 update:0 recall:1 cost:0.0426341
33 update:0 recall:1 cost:0.0426341
34 update:0 recall:1 cost:0.0426341
35 update:0 recall:1 cost:0.0426341
36 update:0 recall:1 cost:0.0426341
37 update:0 recall:1 cost:0.0426341
38 update:0 recall:1 cost:0.0426341
39 update:0 recall:1 cost:0.0426341
40 update:0 recall:1 cost:0.0426341
41 update:0 recall:1 cost:0.0426341
42 update:0 recall:1 cost:0.0426341
43 update:0 recall:1 cost:0.0426341
44 update:0 recall:1 cost:0.0426341
45 update:0 recall:1 cost:0.0426341
46 update:0 recall:1 cost:0.0426341
47 update:0 recall:1 cost:0.0426341
48 update:0 recall:1 cost:0.0426341
49 update:0 recall:1 cost:0.0426341
50 update:0 recall:1 cost:0.0426341
51 update:0 recall:1 cost:0.0426341
52 update:0 recall:1 cost:0.0426341
53 update:0 recall:1 cost:0.0426341
54 update:0 recall:1 cost:0.0426341
55 update:0 recall:1 cost:0.0426341
56 update:0 recall:1 cost:0.0426341
57 update:0 recall:1 cost:0.0426341
58 update:0 recall:1 cost:0.0426341
59 update:0 recall:1 cost:0.0426341
60 update:0 recall:1 cost:0.0426341
61 update:0 recall:1 cost:0.0426341
62 update:0 recall:1 cost:0.0426341
63 update:0 recall:1 cost:0.0426341
64 update:0 recall:1 cost:0.0426341
65 update:0 recall:1 cost:0.0426341
66 update:0 recall:1 cost:0.0426341
67 update:0 recall:1 cost:0.0426341
68 update:0 recall:1 cost:0.0426341
69 update:0 recall:1 cost:0.0426341
70 update:0 recall:1 cost:0.0426341
71 update:0 recall:1 cost:0.0426341
72 update:0 recall:1 cost:0.0426341
73 update:0 recall:1 cost:0.0426341
74 update:0 recall:1 cost:0.0426341
75 update:0 recall:1 cost:0.0426341
76 update:0 recall:1 cost:0.0426341
77 update:0 recall:1 cost:0.0426341
78 update:0 recall:1 cost:0.0426341
79 update:0 recall:1 cost:0.0426341
80 update:0 recall:1 cost:0.0426341
81 update:0 recall:1 cost:0.0426341
82 update:0 recall:1 cost:0.0426341
83 update:0 recall:1 cost:0.0426341
84 update:0 recall:1 cost:0.0426341
85 update:0 recall:1 cost:0.0426341
86 update:0 recall:1 cost:0.0426341
87 update:0 recall:1 cost:0.0426341
88 update:0 recall:1 cost:0.0426341
89 update:0 recall:1 cost:0.0426341
90 update:0 recall:1 cost:0.0426341
91 update:0 recall:1 cost:0.0426341
92 update:0 recall:1 cost:0.0426341
93 update:0 recall:1 cost:0.0426341
94 update:0 recall:1 cost:0.0426341
95 update:0 recall:1 cost:0.0426341
96 update:0 recall:1 cost:0.0426341
97 update:0 recall:1 cost:0.0426341
98 update:0 recall:1 cost:0.0426341
99 update:0 recall:1 cost:0.0426341
100 update:0 recall:1 cost:0.0426341
101 update:0 recall:1 cost:0.0426341
102 update:0 recall:1 cost:0.0426341
103 update:0 recall:1 cost:0.0426341
104 update:0 recall:1 cost:0.0426341
105 update:0 recall:1 cost:0.0426341
106 update:0 recall:1 cost:0.0426341
107 update:0 recall:1 cost:0.0426341
108 update:0 recall:1 cost:0.0426341
109 update:0 recall:1 cost:0.0426341
110 update:0 recall:1 cost:0.0426341
111 update:0 recall:1 cost:0.0426341
112 update:0 recall:1 cost:0.0426341
113 update:0 recall:1 cost:0.0426341
114 update:0 recall:1 cost:0.0426341
115 update:0 recall:1 cost:0.0426341
116 update:0 recall:1 cost:0.0426341
117 update:0 recall:1 cost:0.0426341
118 update:0 recall:1 cost:0.0426341
119 update:0 recall:1 cost:0.0426341
120 update:0 recall:1 cost:0.0426341
121 update:0 recall:1 cost:0.0426341
122 update:0 recall:1 cost:0.0426341
123 update:0 recall:1 cost:0.0426341
124 update:0 recall:1 cost:0.0426341
125 update:0 recall:1 cost:0.0426341
126 update:0 recall:1 cost:0.0426341
127 update:0 recall:1 cost:0.0426341
128 update:0 recall:1 cost:0.0426341
129 update:0 recall:1 cost:0.0426341
130 update:0 recall:1 cost:0.0426341
131 update:0 recall:1 cost:0.0426341
132 update:0 recall:1 cost:0.0426341
133 update:0 recall:1 cost:0.0426341
134 update:0 recall:1 cost:0.0426341
135 update:0 recall:1 cost:0.0426341
136 update:0 recall:1 cost:0.0426341
137 update:0 recall:1 cost:0.0426341
138 update:0 recall:1 cost:0.0426341
139 update:0 recall:1 cost:0.0426341
140 update:0 recall:1 cost:0.0426341
141 update:0 recall:1 cost:0.0426341
142 update:0 recall:1 cost:0.0426341
143 update:0 recall:1 cost:0.0426341
144 update:0 recall:1 cost:0.0426341
145 update:0 recall:1 cost:0.0426341
146 update:0 recall:1 cost:0.0426341
147 update:0 recall:1 cost:0.0426341
148 update:0 recall:1 cost:0.0426341
149 update:0 recall:1 cost:0.0426341
150 update:0 recall:1 cost:0.0426341
151 update:0 recall:1 cost:0.0426341
152 update:0 recall:1 cost:0.0426341
153 update:0 recall:1 cost:0.0426341
154 update:0 recall:1 cost:0.0426341
155 update:0 recall:1 cost:0.0426341
156 update:0 recall:1 cost:0.0426341
157 update:0 recall:1 cost:0.0426341
158 update:0 recall:1 cost:0.0426341
159 update:0 recall:1 cost:0.0426341
160 update:0 recall:1 cost:0.0426341
161 update:0 recall:1 cost:0.0426341
162 update:0 recall:1 cost:0.0426341
163 update:0 recall:1 cost:0.0426341
164 update:0 recall:1 cost:0.0426341
165 update:0 recall:1 cost:0.0426341
166 update:0 recall:1 cost:0.0426341
167 update:0 recall:1 cost:0.0426341
168 update:0 recall:1 cost:0.0426341
169 update:0 recall:1 cost:0.0426341
170 update:0 recall:1 cost:0.0426341
171 update:0 recall:1 cost:0.0426341
172 update:0 recall:1 cost:0.0426341
173 update:0 recall:1 cost:0.0426341
174 update:0 recall:1 cost:0.0426341
175 update:0 recall:1 cost:0.0426341
176 update:0 recall:1 cost:0.0426341
177 update:0 recall:1 cost:0.0426341
178 update:0 recall:1 cost:0.0426341
179 update:0 recall:1 cost:0.0426341
180 update:0 recall:1 cost:0.0426341
181 update:0 recall:1 cost:0.0426341
182 update:0 recall:1 cost:0.0426341
183 update:0 recall:1 cost:0.0426341
184 update:0 recall:1 cost:0.0426341
185 update:0 recall:1 cost:0.0426341
186 update:0 recall:1 cost:0.0426341
187 update:0 recall:1 cost:0.0426341
188 update:0 recall:1 cost:0.0426341
189 update:0 recall:1 cost:0.0426341
190 update:0 recall:1 cost:0.0426341
191 update:0 recall:1 cost:0.0426341
192 update:0 recall:1 cost:0.0426341
193 update:0 recall:1 cost:0.0426341
194 update:0 recall:1 cost:0.0426341
195 update:0 recall:1 cost:0.0426341
196 update:0 recall:1 cost:0.0426341
197 update:0 recall:1 cost:0.0426341
198 update:0 recall:1 cost:0.0426341
199 update:0 recall:1 cost:0.0426341
200 update:0 recall:1 cost:0.0426341
201 update:0 recall:1 cost:0.0426341
202 update:0 recall:1 cost:0.0426341
203 update:0 recall:1 cost:0.0426341
204 update:0 recall:1 cost:0.0426341
205 update:0 recall:1 cost:0.0426341
206 update:0 recall:1 cost:0.0426341
207 update:0 recall:1 cost:0.0426341
208 update:0 recall:1 cost:0.0426341
209 update:0 recall:1 cost:0.0426341
210 update:0 recall:1 cost:0.0426341
211 update:0 recall:1 cost:0.0426341
212 update:0 recall:1 cost:0.0426341
213 update:0 recall:1 cost:0.0426341
214 update:0 recall:1 cost:0.0426341
215 update:0 recall:1 cost:0.0426341
216 update:0 recall:1 cost:0.0426341
217 update:0 recall:1 cost:0.0426341
218 update:0 recall:1 cost:0.0426341
219 update:0 recall:1 cost:0.0426341
220 update:0 recall:1 cost:0.0426341
221 update:0 recall:1 cost:0.0426341
222 update:0 recall:1 cost:0.0426341
223 update:0 recall:1 cost:0.0426341
224 update:0 recall:1 cost:0.0426341
225 update:0 recall:1 cost:0.0426341
226 update:0 recall:1 cost:0.0426341
227 update:0 recall:1 cost:0.0426341
228 update:0 recall:1 cost:0.0426341
229 update:0 recall:1 cost:0.0426341
230 update:0 recall:1 cost:0.0426341
231 update:0 recall:1 cost:0.0426341
232 update:0 recall:1 cost:0.0426341
233 update:0 recall:1 cost:0.0426341
234 update:0 recall:1 cost:0.0426341
235 update:0 recall:1 cost:0.0426341
236 update:0 recall:1 cost:0.0426341
237 update:0 recall:1 cost:0.0426341
238 update:0 recall:1 cost:0.0426341
