 0 update:1 recall:0.087 cost:0.0877887
 1 update:0.870208 recall:0.6805 cost:0.154651
 2 update:0.309283 recall:0.9865 cost:0.226548
 3 update:0.0128813 recall:0.999 cost:0.270039
 4 update:0.000765335 recall:1 cost:0.271702
 5 update:0.000101294 recall:1 cost:0.271795
 6 update:5.62746e-06 recall:1 cost:0.271807
 7 update:0 recall:1 cost:0.271807
 8 update:0 recall:1 cost:0.271807
 9 update:0 recall:1 cost:0.271807
10 update:0 recall:1 cost:0.271807
11 update:0 recall:1 cost:0.271807
12 update:0 recall:1 cost:0.271807
13 update:0 recall:1 cost:0.271807
14 update:0 recall:1 cost:0.271807
15 update:0 recall:1 cost:0.271807
16 update:0 recall:1 cost:0.271807
17 update:0 recall:1 cost:0.271807
18 update:0 recall:1 cost:0.271807
19 update:0 recall:1 cost:0.271807
20 update:0 recall:1 cost:0.271807
21 update:0 recall:1 cost:0.271807
22 update:0 recall:1 cost:0.271807
23 update:0 recall:1 cost:0.271807
24 update:0 recall:1 cost:0.271807
25 update:0 recall:1 cost:0.271807
26 update:0 recall:1 cost:0.271807
27 update:0 recall:1 cost:0.271807
28 update:0 recall:1 cost:0.271807
29 update:0 recall:1 cost:0.271807
30 update:0 recall:1 cost:0.271807
31 update:0 recall:1 cost:0.271807
32 update:0 recall:1 cost:0.271807
33 update:0 recall:1 cost:0.271807
34 update:0 recall:1 cost:0.271807
35 update:0 recall:1 cost:0.271807
36 update:0 recall:1 cost:0.271807
37 update:0 recall:1 cost:0.271807
38 update:0 recall:1 cost:0.271807
39 update:0 recall:1 cost:0.271807
40 update:0 recall:1 cost:0.271807
41 update:0 recall:1 cost:0.271807
42 update:0 recall:1 cost:0.271807
43 update:0 recall:1 cost:0.271807
44 update:0 recall:1 cost:0.271807
45 update:0 recall:1 cost:0.271807
46 update:0 recall:1 cost:0.271807
47 update:0 recall:1 cost:0.271807
48 update:0 recall:1 cost:0.271807
49 update:0 recall:1 cost:0.271807
50 update:0 recall:1 cost:0.271807
51 update:0 recall:1 cost:0.271807
52 update:0 recall:1 cost:0.271807
53 update:0 recall:1 cost:0.271807
54 update:0 recall:1 cost:0.271807
55 update:0 recall:1 cost:0.271807
56 update:0 recall:1 cost:0.271807
57 update:0 recall:1 cost:0.271807
58 update:0 recall:1 cost:0.271807
59 update:0 recall:1 cost:0.271807
60 update:0 recall:1 cost:0.271807
61 update:0 recall:1 cost:0.271807
62 update:0 recall:1 cost:0.271807
63 update:0 recall:1 cost:0.271807
64 update:0 recall:1 cost:0.271807
65 update:0 recall:1 cost:0.271807
66 update:0 recall:1 cost:0.271807
67 update:0 recall:1 cost:0.271807
68 update:0 recall:1 cost:0.271807
69 update:0 recall:1 cost:0.271807
70 update:0 recall:1 cost:0.271807
71 update:0 recall:1 cost:0.271807
72 update:0 recall:1 cost:0.271807
73 update:0 recall:1 cost:0.271807
74 update:0 recall:1 cost:0.271807
75 update:0 recall:1 cost:0.271807
76 update:0 recall:1 cost:0.271807
77 update:0 recall:1 cost:0.271807
78 update:0 recall:1 cost:0.271807
79 update:0 recall:1 cost:0.271807
80 update:0 recall:1 cost:0.271807
81 update:0 recall:1 cost:0.271807
82 update:0 recall:1 cost:0.271807
83 update:0 recall:1 cost:0.271807
84 update:0 recall:1 cost:0.271807
85 update:0 recall:1 cost:0.271807
86 update:0 recall:1 cost:0.271807
87 update:0 recall:1 cost:0.271807
88 update:0 recall:1 cost:0.271807
89 update:0 recall:1 cost:0.271807
90 update:0 recall:1 cost:0.271807
91 update:0 recall:1 cost:0.271807
92 update:0 recall:1 cost:0.271807
93 update:0 recall:1 cost:0.271807
94 update:0 recall:1 cost:0.271807
95 update:0 recall:1 cost:0.271807
96 update:0 recall:1 cost:0.271807
97 update:0 recall:1 cost:0.271807
98 update:0 recall:1 cost:0.271807
99 update:0 recall:1 cost:0.271807
100 update:0 recall:1 cost:0.271807
101 update:0 recall:1 cost:0.271807
102 update:0 recall:1 cost:0.271807
103 update:0 recall:1 cost:0.271807
104 update:0 recall:1 cost:0.271807
105 update:0 recall:1 cost:0.271807
106 update:0 recall:1 cost:0.271807
107 update:0 recall:1 cost:0.271807
108 update:0 recall:1 cost:0.271807
109 update:0 recall:1 cost:0.271807
110 update:0 recall:1 cost:0.271807
111 update:0 recall:1 cost:0.271807
112 update:0 recall:1 cost:0.271807
113 update:0 recall:1 cost:0.271807
114 update:0 recall:1 cost:0.271807
115 update:0 recall:1 cost:0.271807
116 update:0 recall:1 cost:0.271807
117 update:0 recall:1 cost:0.271807
118 update:0 recall:1 cost:0.271807
119 update:0 recall:1 cost:0.271807
120 update:0 recall:1 cost:0.271807
121 update:0 recall:1 cost:0.271807
122 update:0 recall:1 cost:0.271807
123 update:0 recall:1 cost:0.271807
124 update:0 recall:1 cost:0.271807
125 update:0 recall:1 cost:0.271807
126 update:0 recall:1 cost:0.271807
127 update:0 recall:1 cost:0.271807
128 update:0 recall:1 cost:0.271807
129 update:0 recall:1 cost:0.271807
130 update:0 recall:1 cost:0.271807
131 update:0 recall:1 cost:0.271807
132 update:0 recall:1 cost:0.271807
133 update:0 recall:1 cost:0.271807
134 update:0 recall:1 cost:0.271807
135 update:0 recall:1 cost:0.271807
136 update:0 recall:1 cost:0.271807
137 update:0 recall:1 cost:0.271807
138 update:0 recall:1 cost:0.271807
139 update:0 recall:1 cost:0.271807
140 update:0 recall:1 cost:0.271807
141 update:0 recall:1 cost:0.271807
142 update:0 recall:1 cost:0.271807
143 update:0 recall:1 cost:0.271807
144 update:0 recall:1 cost:0.271807
145 update:0 recall:1 cost:0.271807
146 update:0 recall:1 cost:0.271807
147 update:0 recall:1 cost:0.271807
148 update:0 recall:1 cost:0.271807
149 update:0 recall:1 cost:0.271807
150 update:0 recall:1 cost:0.271807
151 update:0 recall:1 cost:0.271807
152 update:0 recall:1 cost:0.271807
153 update:0 recall:1 cost:0.271807
154 update:0 recall:1 cost:0.271807
155 update:0 recall:1 cost:0.271807
156 update:0 recall:1 cost:0.271807
157 update:0 recall:1 cost:0.271807
158 update:0 recall:1 cost:0.271807
159 update:0 recall:1 cost:0.271807
160 update:0 recall:1 cost:0.271807
161 update:0 recall:1 cost:0.271807
162 update:0 recall:1 cost:0.271807
163 update:0 recall:1 cost:0.271807
164 update:0 recall:1 cost:0.271807
165 update:0 recall:1 cost:0.271807
166 update:0 recall:1 cost:0.271807
167 update:0 recall:1 cost:0.271807
168 update:0 recall:1 cost:0.271807
169 update:0 recall:1 cost:0.271807
170 update:0 recall:1 cost:0.271807
171 update:0 recall:1 cost:0.271807
172 update:0 recall:1 cost:0.271807
173 update:0 recall:1 cost:0.271807
174 update:0 recall:1 cost:0.271807
175 update:0 recall:1 cost:0.271807
176 update:0 recall:1 cost:0.271807
177 update:0 recall:1 cost:0.271807
178 update:0 recall:1 cost:0.271807
179 update:0 recall:1 cost:0.271807
180 update:0 recall:1 cost:0.271807
181 update:0 recall:1 cost:0.271807
182 update:0 recall:1 cost:0.271807
183 update:0 recall:1 cost:0.271807
184 update:0 recall:1 cost:0.271807
185 update:0 recall:1 cost:0.271807
186 update:0 recall:1 cost:0.271807
187 update:0 recall:1 cost:0.271807
188 update:0 recall:1 cost:0.271807
189 update:0 recall:1 cost:0.271807
190 update:0 recall:1 cost:0.271807
191 update:0 recall:1 cost:0.271807
192 update:0 recall:1 cost:0.271807
193 update:0 recall:1 cost:0.271807
194 update:0 recall:1 cost:0.271807
195 update:0 recall:1 cost:0.271807
196 update:0 recall:1 cost:0.271807
197 update:0 recall:1 cost:0.271807
198 update:0 recall:1 cost:0.271807
199 update:0 recall:1 cost:0.271807
200 update:0 recall:1 cost:0.271807
201 update:0 recall:1 cost:0.271807
202 update:0 recall:1 cost:0.271807
203 update:0 recall:1 cost:0.271807
204 update:0 recall:1 cost:0.271807
205 update:0 recall:1 cost:0.271807
206 update:0 recall:1 cost:0.271807
207 update:0 recall:1 cost:0.271807
208 update:0 recall:1 cost:0.271807
209 update:0 recall:1 cost:0.271807
210 update:0 recall:1 cost:0.271807
211 update:0 recall:1 cost:0.271807
212 update:0 recall:1 cost:0.271807
213 update:0 recall:1 cost:0.271807
214 update:0 recall:1 cost:0.271807
215 update:0 recall:1 cost:0.271807
216 update:0 recall:1 cost:0.271807
217 update:0 recall:1 cost:0.271807
218 update:0 recall:1 cost:0.271807
219 update:0 recall:1 cost:0.271807
220 update:0 recall:1 cost:0.271807
221 update:0 recall:1 cost:0.271807
222 update:0 recall:1 cost:0.271807
223 update:0 recall:1 cost:0.271807
224 update:0 recall:1 cost:0.271807
225 update:0 recall:1 cost:0.271807
226 update:0 recall:1 cost:0.271807
227 update:0 recall:1 cost:0.271807
228 update:0 recall:1 cost:0.271807
