,Indegree
12,8
30,1
45,1
50,4
57,2
64,280
74,10
91,1
99,27
104,1
134,37
149,27
164,1
169,6
174,5
177,1
220,3584
222,1
225,3
227,2
228,1
238,53
247,7
248,174
250,1
264,18
267,130
271,1
280,9
286,1
326,1
349,1
352,2
367,1402
373,3
385,9
396,7
409,14
444,1
470,1
472,2
485,96
490,2
500,1
524,8
527,1
531,1
534,36
536,2
548,63
554,6
567,21
594,1
604,7
618,1026
620,1
622,578
639,7
646,1
658,20281
709,24
710,125
713,1
714,3
727,2
750,252
765,456
769,1
782,47
809,131
840,1
850,1
862,338
871,2
887,3
898,37
904,16
965,6
972,175
989,317
1009,110
1018,230
1019,1
1025,7
1032,1
1034,71
1035,2
1048,1
1064,1
1066,1
1070,11
1080,14
1090,2
1096,1
1103,27
1104,1
1124,2
1125,5
1129,1
1130,6
1133,38
1147,1
1159,2
1170,2
1180,327
1197,2
1204,1
1218,2
1223,1
1258,4
1275,16
1283,1
1285,1
1293,1
1300,10
1314,3
1315,4
1316,4
1317,1
1323,1
1328,1
1336,28
1339,16
1367,13
1371,9
1384,79
1388,1
1424,5
1433,4
1450,1
1452,35
1455,24
1463,2
1468,4
1469,1
1479,1
1498,4
1506,1
1510,11
1511,1
1543,331
1590,118
1592,1
1594,1
1600,80
1606,6
1607,7
1615,1
1620,1
1647,432
1662,15
1664,4
1675,2
1682,35
1706,170
1718,4
1721,14
1731,46
1736,3
1749,1
1753,39
1765,1
1797,2
1800,6
1812,172
1814,154
1832,1
1837,4
1859,2525
1865,7
1871,7465
1886,3
1910,3
1912,1
1915,3
1919,3
1924,1
1950,7
1957,16
1961,4
1966,2
1969,1
1975,524
1976,6
1992,1
1996,1
2003,1
2017,2
2032,11
2037,1
2048,2
2069,12
2074,5
2094,39
2111,4
2113,1
2124,1
2127,2
2137,2
2156,1
2164,2
2167,2
2171,3
2194,76
2211,2
2228,1
2232,28
2236,1304
2245,1
2259,1
2266,31
2282,1
2292,1
2300,13
2312,1
2327,1
2334,40
2343,27
2348,2
2350,3
2362,44
2369,5
2381,1
2387,1
2414,1
2443,3
2450,595
2470,6
2476,1
2484,5
2489,4
2498,5
2509,2
2521,2
2524,1
2527,8
2530,5
2534,3
2542,60
2550,114
2557,5
2564,106
2568,19022
2574,467
2575,1
2580,60
2581,281
2593,2
2601,6
2609,1
2610,4
2629,1
2660,3
2661,7
2669,1
2685,24
2687,2
2692,2
2713,3
2715,211
2733,1
2746,169
2767,278
2770,2
2782,6
2798,35
2811,1
2819,11
2821,2
2829,1
2843,2
2859,392
2884,1
2921,1
2931,68
2934,1
2959,3
2966,5380
2970,126
2997,1509
3001,3
3004,37
3022,6
3025,6
3036,5
3048,1
3061,1
3062,40
3065,1
3067,1
3077,6
3091,2
3093,1
3106,456
3121,44
3125,3
3130,1
3142,1
3155,1331
3173,10
3174,5796
3181,1
3188,4
3196,1
3203,4
3211,6
3212,1
3219,28
3261,157
3264,2
3288,20
3290,13
3297,7
3314,1
3317,327
3323,111
3342,2
3347,5
3378,4
3385,102
3394,1
3397,4
3400,4
3401,1
3406,1
3414,1
3416,1368
3436,4
3451,4
3456,13
3465,1
3473,3
3483,1
3502,94
3513,7
3542,77
3543,9
3546,6
3555,31
3561,1
3565,13
3578,1
3594,791
3657,180
3660,1
3664,142
3666,1
3675,7
