efK qt recall
1 2.294 0.0874
6 2.7 0.1314
11 2.998 0.1448
16 3.229 0.1518
21 3.427 0.1568
26 3.594 0.1651
31 3.757 0.1709
36 3.851 0.1728
41 3.929 0.1764
46 3.986 0.1771
51 4.09 0.1763
56 4.181 0.1787
61 4.243 0.1782
66 4.312 0.1803
71 4.381 0.1828
76 4.434 0.1828
81 4.505 0.1841
86 4.563 0.1842
91 4.625 0.1843
96 4.672 0.1843
100 4.715 0.1846
120 4.961 0.1869
140 5.184 0.1892
160 5.425 0.1911
180 5.697 0.1931
200 5.941 0.195
220 6.151 0.1957
240 6.405 0.1963
260 6.65 0.1972
280 6.901 0.1985
300 7.161 0.1984
350 7.813 0.2003
400 8.535 0.2018
450 9.247 0.2032
500 9.982 0.2037
550 10.742 0.2037
600 11.487 0.2036
650 12.262 0.2036
700 13.071 0.2038
750 13.944 0.2041
800 14.824 0.204
900 16.526 0.2042
1000 18.485 0.2043
1100 20.398 0.2047
1200 22.249 0.2048
1300 24.339 0.205
1400 26.549 0.2049
1500 28.739 0.2053
1600 30.851 0.2053
1700 33.29 0.2053
1800 35.751 0.2054
1900 38.126 0.2055
2000 40.335 0.2058
3000 67.09 0.2063
4000 97.205 0.2066
5000 126.022 0.2068
6000 158.518 0.2069
7000 192.3 0.2069
8000 226.896 0.2071
9000 261.9 0.2071
10000 296.771 0.2071
