efK qt recall
1 1.155 0.8055
21 4.895 0.886
6 3.908 0.8486
41 8.905 0.9067
11 5.86 0.8641
61 12.033 0.9157
26 9.668 0.8845
81 16.825 0.9246
96 18.611 0.93
16 8.83 0.8797
46 13.173 0.9082
31 9.542 0.8988
140 25.059 0.9435
66 15.415 0.9181
86 14.27 0.9289
51 7.268 0.9129
36 7.268 0.8963
100 15.6 0.933
200 36.461 0.9523
71 8.904 0.9175
56 7.31 0.911
91 9.205 0.9278
260 41.262 0.9564
76 7.466 0.9189
120 10.162 0.9449
160 20.441 0.9518
350 46.852 0.9574
500 55.87 0.9536
220 20.963 0.9581
180 15.846 0.9553
650 64.382 0.9533
280 23.575 0.9574
800 72.739 0.9575
400 30.746 0.9531
240 21.803 0.9598
300 22.573 0.9569
1100 91.776 0.9593
550 39.746 0.9598
450 27.625 0.956
1400 108.852 0.9618
700 48.123 0.9602
1700 121.697 0.9603
600 35.232 0.9621
900 60.837 0.96
750 47.21 0.9565
1200 71.097 0.9598
1000 57.38 0.9554
1500 86.313 0.9596
1800 93.876 0.962
1300 66.468 0.9602
1600 82.144 0.9596
1900 92.855 0.9586
