efK qt recall
1 0.591 0.5853
6 0.839 0.7216
11 1.016 0.7564
16 1.144 0.7694
21 1.545 0.7792
26 1.494 0.7858
31 1.688 0.7913
36 1.903 0.7983
41 2.078 0.8017
46 2.292 0.8064
51 2.493 0.8106
56 2.748 0.8182
61 2.941 0.821
66 3.225 0.8254
71 3.498 0.827
76 3.739 0.8315
81 4.051 0.834
86 4.402 0.8358
91 4.763 0.8425
96 5.075 0.8442
100 5.485 0.8476
120 7.789 0.8688
140 11.023 0.8802
160 14.632 0.8887
180 17.764 0.8973
200 21.128 0.9001
220 24.226 0.9036
240 27.814 0.9068
260 32.021 0.9094
280 35.139 0.9123
300 38.257 0.9172
350 48.846 0.9347
400 58.803 0.9468
450 68.613 0.9551
500 78.903 0.9659
550 89.625 0.975
600 99.949 0.9794
650 110.349 0.984
700 120.145 0.9846
750 130.789 0.9881
800 141.303 0.991
900 162.416 0.9944
1000 183.043 0.9966
1100 269.662 0.9975
1200 307.944 0.9986
1300 335.143 0.9991
1400 364.302 0.9991
1500 388.442 0.9996
1600 421.851 0.9996
1700 449.836 0.9998
1800 517.023 0.9998
1900 583.1 0.9998
