efK qt recall
1 0.001 0.67
2 0 0.73
3 0.001 0.7
4 0.001 0.69
5 0.001 0.73
6 0.001 0.74
7 0.001 0.74
8 0.001 0.75
9 0.001 0.76
10 0.001 0.76
11 0.001 0.78
12 0.002 0.78
13 0.001 0.79
14 0.001 0.79
15 0.001 0.8
16 0 0.79
17 0.002 0.79
18 0.002 0.79
19 0.003 0.79
20 0.002 0.79
21 0.003 0.79
22 0.003 0.79
23 0.002 0.79
24 0.003 0.8
25 0.003 0.8
26 0.003 0.8
27 0.003 0.84
28 0.004 0.84
29 0.004 0.85
30 0.004 0.84
31 0.004 0.84
32 0.005 0.85
33 0.004 0.85
34 0.005 0.85
35 0.005 0.85
36 0.004 0.85
37 0.004 0.85
38 0.006 0.85
39 0.005 0.85
40 0.005 0.85
41 0.005 0.85
42 0.005 0.85
43 0.005 0.85
44 0.005 0.85
45 0.005 0.85
46 0.005 0.85
47 0.006 0.85
48 0.006 0.85
49 0.006 0.85
50 0.005 0.85
51 0.006 0.85
52 0.007 0.85
53 0.005 0.85
54 0.006 0.85
55 0.006 0.85
56 0.006 0.85
57 0.006 0.85
58 0.006 0.85
59 0.006 0.85
60 0.007 0.85
61 0.007 0.85
62 0.006 0.85
63 0.006 0.85
64 0.006 0.85
65 0.006 0.84
66 0.008 0.85
67 0.007 0.85
68 0.007 0.85
69 0.007 0.85
70 0.007 0.85
71 0.008 0.85
72 0.006 0.85
73 0.007 0.85
74 0.008 0.85
75 0.007 0.85
76 0.007 0.85
77 0.006 0.84
78 0.007 0.84
79 0.006 0.84
80 0.007 0.87
81 0.008 0.87
82 0.008 0.87
83 0.008 0.87
84 0.009 0.87
85 0.009 0.87
86 0.01 0.87
87 0.01 0.87
88 0.009 0.87
89 0.01 0.87
90 0.01 0.87
91 0.01 0.87
92 0.009 0.87
93 0.01 0.87
94 0.01 0.87
95 0.01 0.87
96 0.01 0.87
97 0.01 0.87
98 0.009 0.87
99 0.009 0.87
100 0.01 0.87
120 0.012 0.87
140 0.014 0.88
160 0.02 0.88
180 0.022 0.88
200 0.024 0.88
220 0.028 0.88
240 0.032 0.88
260 0.031 0.88
280 0.042 0.88
300 0.049 0.88
350 0.067 0.88
400 0.08 0.9
450 0.108 0.9
500 0.117 0.9
550 0.129 0.9
600 0.154 0.9
650 0.17 0.9
700 0.18 0.9
750 0.186 0.9
800 0.201 0.9
