efK qt recall
1 2.332 0.1476
6 2.346 0.4347
11 2.568 0.5386
16 2.818 0.6149
21 3.165 0.6854
26 3.607 0.739
31 4.179 0.7847
36 4.775 0.8161
41 5.433 0.8362
46 5.959 0.8529
51 6.434 0.8668
56 6.967 0.8763
61 7.753 0.8885
66 8.551 0.9006
71 9.712 0.9129
76 10.754 0.9237
81 11.75 0.9293
86 12.672 0.9358
91 13.544 0.9429
96 14.345 0.947
100 15.033 0.9479
120 18.303 0.9651
140 21.151 0.9711
160 24.101 0.9794
180 26.964 0.9816
200 29.121 0.9836
220 31.094 0.9849
240 33.247 0.9854
260 35.333 0.9863
280 37.473 0.9865
300 39.654 0.9871
350 45.339 0.9884
400 50.754 0.9886
450 56.255 0.9892
500 61.856 0.99
550 67.116 0.9904
600 72.238 0.9907
650 77.327 0.9907
700 82.535 0.9907
750 87.688 0.9907
800 92.845 0.9907
900 103.323 0.9907
1000 114.753 0.9907
1100 126.436 0.9907
1200 138.041 0.991
