efK qt recall
1 0.108 0.2118
6 0.159 0.6779
11 0.219 0.7946
16 0.296 0.8126
21 0.415 0.838
26 0.607 0.862
31 0.837 0.8728
36 1.112 0.8801
41 1.424 0.8861
46 1.819 0.8924
51 2.142 0.8962
56 2.606 0.901
61 2.926 0.9048
66 3.365 0.9061
71 3.759 0.9105
76 4.157 0.9121
81 4.513 0.9142
86 4.816 0.9171
91 5.163 0.92
96 5.45 0.9231
100 5.705 0.924
120 6.916 0.9287
140 7.86 0.9329
160 9.267 0.9407
180 10.505 0.9468
200 12.047 0.9634
220 13.771 0.9807
240 15.386 0.9883
260 16.981 0.996
280 18.369 0.9976
300 19.695 0.9979
350 22.982 0.9985
400 25.899 0.9985
450 28.681 0.9987
500 31.453 0.9989
550 34.188 0.999
600 36.994 0.9991
650 39.75 0.9991
700 42.496 0.9991
750 45.289 0.9991
800 48.182 0.9991
900 53.737 0.9991
1000 60.361 0.9991
1100 65.487 0.9991
1200 71.066 0.9991
