efK qt recall
1 0.039 0.2299
6 0.061 0.7096
11 0.097 0.8652
16 0.168 0.8872
21 0.288 0.904
26 0.324 0.9145
31 0.353 0.9236
36 0.37 0.9404
41 0.404 0.9629
46 0.446 0.9725
51 0.48 0.9743
56 0.512 0.975
61 0.549 0.9774
66 0.585 0.9796
71 0.618 0.981
76 0.656 0.9823
81 0.696 0.983
86 0.733 0.9834
91 0.77 0.9837
96 0.806 0.9844
100 0.834 0.9846
120 0.965 0.9848
140 1.089 0.9853
160 1.209 0.9855
180 1.322 0.9856
200 1.436 0.9856
220 1.549 0.9856
240 1.659 0.9856
260 1.769 0.9856
280 1.879 0.9856
300 1.988 0.9856
350 2.261 0.9856
400 2.532 0.9856
450 2.803 0.9856
500 3.074 0.9856
550 3.346 0.9856
600 3.618 0.9856
650 3.89 0.9856
700 4.159 0.9856
750 4.431 0.9856
800 4.703 0.9856
900 5.253 0.9856
1000 5.79 0.9856
1100 6.334 0.9856
1200 6.876 0.9856
