efK qt recall
1 2.328 0.1446
6 2.598 0.4382
11 2.926 0.5282
16 3.218 0.5996
21 3.43 0.6564
26 3.642 0.6932
31 3.932 0.7254
36 4.016 0.7504
41 4.178 0.7672
46 4.316 0.7764
51 5.36 0.7822
56 5.054 0.786
61 4.698 0.7908
66 4.862 0.8
71 7.054 0.8078
76 7.488 0.8132
81 6.294 0.8172
86 5.36 0.821
91 5.548 0.8274
96 6.142 0.83
100 5.374 0.8308
120 6.318 0.8428
140 6.292 0.846
160 7.296 0.8524
180 7.278 0.854
200 7.112 0.8556
220 7.482 0.856
240 7.846 0.8566
260 8.21 0.8572
280 8.522 0.8576
300 8.878 0.8576
350 9.754 0.8578
400 10.64 0.858
450 11.548 0.8586
500 12.506 0.8588
550 13.42 0.8592
600 14.506 0.8594
650 15.6 0.8596
700 16.462 0.8596
750 17.386 0.8596
800 23.364 0.8598
900 28.308 0.8598
1000 31.328 0.8598
1100 32.102 0.8598
1200 42.828 0.8598
1300 36.798 0.8598
1400 36.638 0.8598
1500 34.818 0.8598
1600 39.08 0.8598
1700 44.116 0.8598
1800 39.944 0.8598
1900 39.826 0.8598
