efK qt recall
1 0.052 0.2212
6 0.08 0.6986
11 0.136 0.8558
16 0.23 0.8772
21 0.292 0.8926
26 0.374 0.906
31 0.402 0.9182
36 0.476 0.9414
41 0.454 0.9654
46 0.494 0.975
51 0.456 0.978
56 0.518 0.9794
61 0.594 0.9852
66 0.736 0.99
71 0.86 0.9926
76 0.992 0.9948
81 1.118 0.9952
86 1.236 0.9964
91 1.326 0.9966
96 1.4 0.9982
100 1.46 0.9984
120 1.7 0.9986
140 1.916 0.9988
160 2.13 0.9988
180 2.344 0.999
200 2.558 0.999
220 2.776 0.999
240 2.992 0.999
260 3.214 0.999
280 3.438 0.999
300 3.666 0.999
350 4.38 0.999
400 7.32 0.999
450 11.408 0.999
500 11.878 0.999
550 9.058 0.999
600 8.946 0.999
650 10.466 0.999
700 11.38 0.999
750 12.656 0.999
800 19.164 0.999
900 21.188 0.999
1000 24.988 0.999
1100 20.864 0.999
1200 19.966 0.999
1300 20.236 0.999
1400 20.472 0.999
1500 30.364 0.999
1600 29.422 0.999
1700 20.468 0.999
1800 21.434 0.999
1900 23.378 0.999
