efK qt recall
1 0.2 0.215
6 0.306 0.6948
11 0.438 0.8096
16 0.598 0.8292
21 0.892 0.8514
26 1.404 0.8756
31 1.874 0.8866
36 2.45 0.894
41 3.206 0.8998
46 4.08 0.9014
51 4.71 0.9048
56 5.614 0.9084
61 6.32 0.9136
66 5.268 0.9142
71 8.706 0.9158
76 10.266 0.918
81 9.556 0.9194
86 7.492 0.923
91 7.374 0.9252
96 7.222 0.928
100 12.528 0.9296
120 9.112 0.9338
140 10.242 0.9362
160 12.866 0.943
180 17.496 0.9504
200 20.948 0.9662
220 23.148 0.9822
240 17.974 0.9918
260 19.086 0.9962
280 20.796 0.9972
300 26.638 0.9978
350 34.442 0.9984
400 39.546 0.9984
450 37.364 0.9984
500 39.298 0.9986
550 49.648 0.9986
600 44.452 0.9988
650 44.28 0.9988
700 47.156 0.9988
750 50.216 0.9988
800 60.69 0.9988
900 69.098 0.9988
1000 93.246 0.9988
1100 81.378 0.9988
1200 93.334 0.9988
1300 84.512 0.9988
1400 97.592 0.9988
1500 109.712 0.9988
1600 112.558 0.9988
1700 112.458 0.9988
1800 116.46 0.9988
1900 123.118 0.9988
