efK qt recall
1 0.043 0.2299
6 0.082 0.7096
11 0.1 0.8652
16 0.14 0.8872
21 0.177 0.9039
26 0.308 0.9152
31 0.287 0.9265
36 0.345 0.9432
41 0.627 0.9658
46 0.686 0.9758
51 0.672 0.9779
56 0.535 0.9807
61 0.818 0.9861
66 1.2 0.9913
71 1.545 0.9935
76 1.344 0.9952
81 1.686 0.9962
86 1.809 0.9973
91 2.003 0.9978
96 2.283 0.999
100 3.889 0.999
120 5.324 0.9992
140 6.011 0.9997
160 5.292 0.9997
180 5.677 0.9998
200 4.368 0.9998
220 4.7 0.9998
240 7.807 0.9998
260 6.72 0.9998
280 8.838 0.9998
300 7.682 0.9998
350 8.744 0.9998
400 10.418 0.9998
450 9.12 0.9998
500 10.132 0.9998
550 12.842 0.9998
600 13.653 0.9998
650 12.918 0.9998
700 12.902 0.9998
750 13.736 0.9998
800 15.394 0.9998
900 15.103 0.9998
1000 16.719 0.9998
1100 18.336 0.9998
1200 20.372 0.9998
1300 22.676 0.9998
1400 24.474 0.9998
1500 26.112 0.9998
1600 27.83 0.9998
1700 29.336 0.9998
1800 30.713 0.9998
1900 32.236 0.9998
