efK qt recall
1 0.5 0.78
2 0.5 0.82
3 0.6 0.82
4 0.6 0.84
5 0.6 0.82
6 0.7 0.91
7 0.8 0.91
8 0.8 0.91
9 0.9 0.94
10 1 0.94
11 1 0.91
12 1.1 0.94
13 1.1 0.94
14 1.1 0.94
15 1.2 0.95
16 1.3 0.95
17 1.2 0.95
18 1.3 0.95
19 1.3 0.95
20 1.3 0.95
21 1.3 0.95
22 1.3 0.95
23 1.4 0.95
24 1.4 0.95
25 1.4 0.95
26 1.4 0.95
27 1.4 0.95
28 1.5 0.95
29 1.5 0.95
30 1.6 0.95
31 1.6 0.95
32 1.6 0.95
33 1.7 0.95
34 1.7 0.95
35 1.8 0.95
36 1.7 0.95
37 1.7 0.95
38 1.8 0.95
39 1.8 0.95
40 1.8 0.95
41 1.8 0.95
42 1.8 0.95
43 1.9 0.95
44 1.9 0.95
45 1.9 0.95
46 1.9 0.95
47 2 0.95
48 2 0.95
49 2.1 0.95
50 2.1 0.95
51 2.1 0.95
52 2.1 0.95
53 2.2 0.95
54 2.1 0.95
55 2.2 0.95
56 2.2 0.95
57 2.2 0.9
58 2.2 0.9
59 2.2 0.9
60 2.3 0.9
61 2.4 0.95
62 2.4 0.95
63 2.4 0.95
64 2.2 0.95
65 2.2 0.95
66 2.2 0.95
67 2.2 0.95
68 2.1 0.95
69 2.2 0.95
70 2.3 0.95
71 2.3 0.95
72 2.3 0.95
73 2.3 0.95
74 2.3 0.95
75 2.3 0.95
76 2.3 0.95
77 2.3 0.95
78 2.3 0.95
79 2.3 0.95
80 2.4 0.95
81 2.4 0.95
82 2.4 0.95
83 2.5 0.95
84 2.5 0.95
85 2.5 0.95
86 2.5 0.95
87 2.5 0.95
88 2.5 0.95
89 2.6 0.95
90 2.6 0.95
91 2.6 0.95
92 2.6 0.95
93 2.6 0.95
94 2.6 0.95
95 2.8 0.95
96 2.9 0.95
97 2.9 0.95
98 2.9 0.95
99 2.9 0.95
100 3.3 0.95
120 3.7 0.97
140 4.2 0.97
160 6.3 0.97
180 7.2 0.97
200 8 0.98
220 7.6 0.98
240 8.1 1
260 8.9 1
280 9.5 1
300 10 1
350 9.8 1
400 10.6 1
450 11.6 1
500 12.8 1
550 14.5 1
600 16 1
650 17.3 1
700 16.3 1
750 16.6 1
800 17.7 1
