efK qt recall
1 0.056 0.2295
6 0.088 0.7092
11 0.163 0.8644
16 0.232 0.8868
21 0.25 0.9029
26 0.313 0.9134
31 0.34 0.9205
36 0.355 0.9332
41 0.4 0.9487
46 0.439 0.9551
51 0.48 0.9678
56 0.513 0.9682
61 0.546 0.9698
66 0.576 0.9716
71 0.608 0.9721
76 0.64 0.9733
81 0.669 0.9736
86 0.698 0.974
91 0.728 0.9739
96 0.755 0.9745
100 0.777 0.9746
120 0.893 0.9751
140 1.004 0.9758
160 1.103 0.976
180 1.202 0.9763
200 1.299 0.9763
220 1.395 0.9763
240 1.491 0.9763
260 1.587 0.9763
280 1.682 0.9763
300 1.777 0.9763
350 2.017 0.9763
400 2.256 0.9763
450 2.495 0.9763
500 2.733 0.9763
550 2.971 0.9763
600 3.211 0.9763
650 3.449 0.9763
700 3.687 0.9763
750 3.926 0.9763
800 4.164 0.9763
900 4.641 0.9763
1000 5.119 0.9763
1100 5.596 0.9763
1200 6.072 0.9763
