efK qt recall
1 0.106 0.2066
6 0.158 0.6731
11 0.235 0.7908
16 0.322 0.8092
21 0.414 0.8356
26 0.604 0.8591
31 0.839 0.8708
36 1.102 0.8769
41 1.42 0.8822
46 1.825 0.8904
51 2.14 0.8948
56 2.605 0.8989
61 2.928 0.9021
66 3.388 0.9036
71 3.813 0.9065
76 4.201 0.9089
81 4.607 0.9107
86 4.909 0.9121
91 5.24 0.9149
96 5.593 0.919
100 5.854 0.9198
120 6.972 0.923
140 8.164 0.9251
160 9.179 0.9304
180 10.226 0.9324
200 11.259 0.9389
220 12.39 0.9514
240 13.339 0.9562
260 14.354 0.961
280 15.299 0.9634
300 16.199 0.9634
350 18.8 0.9749
400 21.101 0.9755
450 23.455 0.9757
500 25.761 0.9759
550 28.05 0.9759
600 30.356 0.9759
650 32.63 0.9759
700 34.853 0.9759
750 37.091 0.9759
800 39.309 0.9759
900 43.716 0.9759
1000 48.152 0.9759
1100 52.561 0.9759
1200 56.97 0.9759
