efK qt recall
1 2.362 0.1476
6 2.374 0.4347
11 2.491 0.5375
16 2.707 0.6118
21 2.983 0.6798
26 3.281 0.7299
31 3.621 0.7725
36 3.965 0.8023
41 4.257 0.8207
46 4.526 0.8354
51 4.757 0.8471
56 4.991 0.8552
61 5.458 0.8645
66 5.856 0.8747
71 6.259 0.8848
76 6.598 0.8929
81 6.883 0.8972
86 7.112 0.9022
91 7.377 0.908
96 7.604 0.9106
100 7.789 0.9111
120 8.81 0.9241
140 9.663 0.9282
160 10.527 0.9346
180 11.347 0.9357
200 12.128 0.93220 11.221 0.9387
240 11.925 0.9393
260 12.575 0.94
280 13.207 0.9401
300 13.852 0.9404
350 15.456 0.9414
400 17.06 0.9418
450 18.678 0.9424
500 20.506 0.9431
550 22.194 0.9436
600 23.861 0.9439
650 25.547 0.944
700 27.213 0.9441
750 28.922 0.9441
800 30.727 0.9441
900 34.053 0.9442
1000 37.58 0.9442
1100 41.284 0.9442
1200 45.042 0.9444
