efK qt recall
1 0.038 0.2212
6 0.06 0.6986
11 0.096 0.8558
16 0.138 0.8772
21 0.2 0.8926
26 0.262 0.906
31 0.488 0.9182
36 0.582 0.9414
41 0.674 0.9654
46 0.742 0.975
51 0.806 0.978
56 0.648 0.9794
61 0.738 0.9854
66 1.934 0.9904
71 2.92 0.9928
76 2.284 0.9954
81 3.192 0.9962
86 3.86 0.9978
91 4.44 0.9978
96 6.766 0.9994
100 6.922 0.9994
120 7.664 0.9996
140 5.996 0.9998
160 6.606 0.9998
180 10.968 0.9998
200 11.532 0.9998
220 9.678 0.9998
240 13.344 0.9998
260 12.72 0.9998
280 13.132 0.9998
300 13.554 0.9998
350 12.474 0.9998
400 14.222 0.9998
450 19.252 0.9998
500 20.054 0.9998
550 17.086 0.9998
600 19.096 0.9998
650 22.154 0.9998
700 24.66 0.9998
750 24.25 0.9998
800 25.394 0.9998
900 25.722 0.9998
1000 27.774 0.9998
1100 30.434 0.9998
1200 32.978 0.9998
1300 35.704 0.9998
1400 41.858 0.9998
1500 45.116 0.9998
1600 47.808 0.9998
1700 49.536 0.9998
1800 53.928 0.9998
1900 54.836 0.9998
