efK qt recall
1 2.544 0.1448
6 2.346 0.441
11 2.576 0.5364
16 2.846 0.6152
21 3.248 0.687
26 3.718 0.736
31 4.31 0.781
36 4.882 0.8118
41 5.38 0.8316
46 5.896 0.8486
51 6.372 0.8616
56 6.894 0.8672
61 7.648 0.8792
66 8.386 0.892
71 9.572 0.9044
76 10.58 0.916
81 11.378 0.922
86 12.034 0.9284
91 12.79 0.9384
96 13.574 0.943
100 14.128 0.9438
120 17.336 0.9626
140 19.94 0.9682
160 22.424 0.9782
180 24.942 0.9804
200 26.684 0.9828
220 28.486 0.9838
240 30.494 0.9848
260 32.276 0.9864
280 34.244 0.9868
300 36.026 0.9868
350 40.734 0.9874
400 45.538 0.9878
450 50.452 0.9884
500 55.354 0.9888
550 59.926 0.9894
600 64.378 0.9894
650 68.854 0.9894
700 73.344 0.9894
750 77.87 0.9894
800 82.376 0.9894
900 91.492 0.9894
1000 101.262 0.9894
1100 111.484 0.9894
1200 121.822 0.9896
1300 131.494 0.9896
1400 141.248 0.9896
1500 151.058 0.9896
1600 161.044 0.9896
1700 171.088 0.9896
1800 180.846 0.9896
1900 190.184 0.9896
