,0
0,46821326
1,39026
2,63908
3,72588
4,77544
5,94602
6,101090
7,123116
8,155864
9,187220
10,240014
11,307652
12,413426
13,520930
14,658526
15,836914
16,992862
17,1190908
18,1406890
19,1635900
20,1853512
21,2089822
22,2343366
23,2602238
24,2860064
25,3144768
26,3412890
27,3717196
28,8225258
29,0
30,4538714
31,4846850
32,5151148
33,5485192
34,5813288
35,6137066
36,6506954
37,6844866
38,7218234
39,7583268
40,7999592
41,8353642
42,8767380
43,9151032
44,9566478
45,9995060
46,10379028
47,10796858
48,11213618
49,11588610
50,11986732
51,12357694
52,12740294
53,13098894
54,13437462
55,13768162
56,28445386
57,14665752
58,0
59,14913420
60,15159506
61,15366540
62,15575220
63,15735770
64,15870334
65,15960974
66,16059984
67,16107190
68,16111944
69,16112382
70,16064734
71,15991104
72,15850358
73,15735628
74,15541790
75,15353972
76,15107968
77,14835732
78,14535832
79,14210458
80,13877582
81,13497650
82,13104142
83,12697246
84,12259324
85,11814158
86,11359422
87,10905286
88,10431670
89,9956724
90,9484742
91,9008890
92,8530068
93,8057096
94,7589822
95,7134014
96,6679984
97,6256238
98,5825916
99,5419136
100,5021658
101,4640060
102,4274174
103,3925216
104,3594760
105,3287246
106,2996214
107,2709936
108,2456522
109,2211804
110,1993298
111,1780450
112,3018408
113,1261336
114,1113538
115,986568
116,0
117,864694
118,755798
119,661732
120,574942
121,498164
122,430890
123,370586
124,319262
125,271608
126,230732
127,197152
128,165962
129,139722
130,117576
131,98702
132,82686
133,68236
134,57348
135,47142
136,38850
137,32126
138,25974
139,21908
140,17696
141,14142
142,11472
143,9344
144,7374
145,6060
146,4840
147,3904
148,2988
149,2482
150,1998
151,1490
152,1148
153,958
154,748
155,582
156,480
157,354
158,266
159,220
160,154
161,128
162,100
163,80
164,74
165,42
166,24
167,20
168,20
169,10
170,4
171,12
172,8
173,4
174,0
175,6
176,4
177,0
178,0
179,0
180,2
181,0
182,2
