efK qt recall
1 2.46 0.2873
6 3.682 0.4379
11 5.725 0.49
16 6.494 0.5393
21 6.107 0.5767
26 6.735 0.6004
31 7.246 0.6259
36 7.794 0.6453
41 8.251 0.6608
46 8.596 0.6737
51 9.001 0.6897
56 9.95 0.7025
61 10.228 0.7114
66 10.39 0.7216
71 10.733 0.7308
76 11.142 0.7366
81 11.549 0.7477
86 11.959 0.7564
91 12.252 0.7604
96 12.439 0.762
100 12.943 0.7689
120 14.379 0.7903
140 15.859 0.8114
160 17.358 0.8299
180 19.502 0.8394
200 20.907 0.8471
220 22.313 0.8551
240 23.729 0.8622
260 25.289 0.8688
280 26.635 0.8741
300 27.989 0.8773
350 31.55 0.8844
400 34.651 0.8859
450 37.962 0.8883
500 41.919 0.8903
550 45.634 0.8917
600 49.776 0.8925
650 52.736 0.8936
700 56.493 0.8941
750 60.984 0.8947
800 65.005 0.8949
900 73.417 0.8951
1000 82.51 0.8963
1100 91.876 0.8972
1200 107.904 0.8974
1300 117.712 0.8974
1400 139.232 0.8976
1500 140.992 0.8976
1600 158.184 0.8978
1700 157.24 0.8978
1800 181.916 0.8979
1900 189.732 0.8979
