efK qt recall
1 0.054 0.2604
6 0.085 0.7362
11 0.135 0.8662
16 0.181 0.8895
21 0.214 0.9157
26 0.275 0.9381
31 0.297 0.9477
36 0.346 0.9527
41 0.384 0.9537
46 0.423 0.9571
51 0.456 0.9588
56 0.489 0.9594
61 0.52 0.9604
66 0.548 0.9603
71 0.576 0.9604
76 0.603 0.9607
81 0.631 0.9608
86 0.657 0.9611
91 0.684 0.961
96 0.838 0.9611
100 0.734 0.9611
120 0.841 0.9613
140 0.941 0.9619
160 1.036 0.9623
180 1.132 0.9629
200 1.223 0.9629
220 1.314 0.9629
240 1.405 0.9629
260 1.496 0.9629
280 1.586 0.9629
300 1.677 0.9629
350 1.903 0.9629
400 2.128 0.9629
450 2.355 0.9629
500 2.582 0.9629
550 2.807 0.9629
600 3.033 0.9629
650 3.258 0.9629
700 3.484 0.9629
750 3.711 0.9629
800 3.936 0.9629
1200 5.744 0.9629
1600 7.553 0.9629
2000 9.363 0.9629
2400 11.177 0.9629
2800 12.993 0.9629
3200 14.831 0.9629
3600 16.655 0.9629
