efK	qt	recall
1	0.485	0.4273
6	0.69	0.5046
11	0.815	0.5292
16	0.943	0.5446
21	1.061	0.5519
26	1.212	0.5611
31	1.333	0.5673
36	1.524	0.5742
41	1.666	0.5804
46	1.852	0.5873
51	2.03	0.5937
56	2.241	0.6039
61	2.411	0.6107
66	2.67	0.618
71	2.941	0.6274
76	3.109	0.6274
81	3.474	0.6335
86	3.759	0.6388
91	4.142	0.6449
96	4.435	0.652
100	5.084	0.66
120	7.49	0.7283
140	11.108	0.7798
160	15.197	0.8107
180	18.594	0.8334
200	22.852	0.8439
220	26.146	0.8529
240	29.394	0.8596
260	33.077	0.8609
280	36.886	0.8653
300	40.447	0.8657
350	50.015	0.8699
400	58.884	0.873
450	67.063	0.8746
500	75.526	0.8756
550	83.6	0.8756
600	92.148	0.8761
650	100.038	0.8764
700	107.964	0.8768
750	116.063	0.8768
800	124.396	0.8772
900	140.446	0.877
1000	157.047	0.8759
1100	174.645	0.8769
1200	192.348	0.8767
1300	210.442	0.8768
1400	228.506	0.8771
1500	246.905	0.8774
1600	266.161	0.8776
1700	285.064	0.8785
1800	304.853	0.8784
1900	323.826	0.8787
