efK qt recall
1 0.083 0.1824
6 0.12 0.5062
11 0.248 0.563
16 0.357 0.6017
21 0.46 0.6935
26 0.574 0.76
31 0.768 0.7873
36 1.046 0.8064
41 1.406 0.8297
46 1.768 0.8402
51 2.154 0.8501
56 2.645 0.8564
61 3.059 0.8589
66 3.465 0.8601
71 3.972 0.8631
76 4.386 0.8676
81 4.844 0.8698
86 5.271 0.8699
91 5.569 0.8706
96 5.876 0.8731
100 6.129 0.8753
120 7.445 0.875
140 8.496 0.8755
160 9.49 0.8757
180 10.44 0.8758
200 11.362 0.8761
220 12.292 0.8769
240 13.185 0.877
260 14.123 0.8776
280 15.004 0.878
300 15.874 0.8781
350 18.097 0.8792
400 20.241 0.8797
450 22.438 0.8801
500 24.66 0.8801
550 28.757 0.8801
600 29.319 0.8803
650 31.17 0.8803
700 33.275 0.8803
750 35.385 0.8803
800 37.479 0.8803
1200 54.261 0.8803
1600 71.052 0.8803
2000 87.865 0.8803
2400 104.694 0.8803
2800 121.629 0.8803
3200 138.496 0.8803
3600 155.302 0.8803
